Indonesia,Andap,Alus Sor,Alus Singgih,Alus Mider,Mider
"hambur, serak",,,,,brarak
hamil,beling,abot,mobot,,
hamil,beling,beling,mobot,,
hampir,"das, makiken, makire",tambis,tambis,,
hampir,imang,,,tambis,
hampir,,,,,"kiken, makiken"
hampir,,,,,"kire, makire"
hampir jatuh,,,,,"tenggel, nenggel"
hampir layu,,,,,mayang
hampir pingsan,,,,,kesereb
hampir pingsan,,,,,limuh
hampir putus,,,,,ceking
"hampir, hampir saja","das, dasdasan",,,"tambis, tambis-tambis",
hancur,"nyag, enyag",,,brasta,
hancur,uug,,,"pralaya, rug",
hancur,,,,,benyah
hancur,,,,,lebur
hancur,,,,,remuk
hancur terinjak-injak,,,,,lepuh
handal,cager,,,"piandel, kapiandel",
"handal, terpercaya",,,,,andel
handuk,anduk,"cerik, handuk",selendang,,
hangat,,,,,anget
hangit,,,,,anteb
hantar,ateh,iring,"sarengin, anter",,
hanya,tuah,wantah,kewanten,,
hanya,tuah,,,wantah,
hanyut,,,,,anyud
"hapus, menghapus","usap, ngusap",,,"apus, ngapus",
harap,,,,,apti
"harap, harapkan","ulati, ulatiang",,,"apti, aptiang",
"harap, mengharap, semoga","acep, andelang, cagerang",andelang,andel,,
"harap, puja, memuja","acep, ngacep",,,"apti, ngastiti, ngastawa",
harap/sembah,acep,ajap,aptiang,,
harga,aji,pengaji,pengarga,,
harga,ajin,,,"arga, pangarga",
"harga, biaya, ongkos",aji,ajine,"harga, rega",,
hari,"dina, lemeng",rahina,rahina,,
hari,"dina, wai",,,rahina,
Hari ini,Dina jani,Ring rahinane mangkin,Ring rahinane mangkin,,
hari kedua pancawara,,,,,paing
hari kelima dalam saptawara,,,,,wrespati
hari kesatu dari triwangsa,,,,,pasah
hari ketiga dari triwara,,,,,kajeng
hari lahir,oton,oton,odalan,,
hari lahir,otonan,,,odalan,
hari lahirnya ilmu pengetahuan,,,,,saraswati
hari minggu,,,,,redite
hari pertama dari pancawara,,,,,umanis
hari pohon kayu,,,,,les
hari raya Rebo Keliwon Sinta,,,,,"pagerwesi, pagorsi"
hari raya Saniscara kliwon,,,,,tumpek
hari raya suci,,,,,"rainan, rerainan"
hari sabtu,,,,,saniscara
hari senin,,,,,soma
hari terakhir dalam Panca Wara,,,,,klion
hari yang baik,,,,,dewasa
"hari, larut malam",lemeng,,,"rahina, lintang wengi",
"hari, satu hari","wai, awai",,,"rahina, arahina",
harijumat,,,,,sukra
harimau,macan,sangmong,sangmong,,
harimau,macan,,,sardula,
harta kekayaan,,,,,brana
harum,"minyak, nyangluh",harum,wangi,,
harum,miik,,,arum,
harum,,,,,miik
"harus, patut, wajib","patut, nyandang","beneh, bantes",patut,,
hasil,asil,,,pikolih,
hasil karya,paek,,,karma,
hasil kerja,pagae,,,pakaryan,
hasil kerja,sekaya,,,pikolih,
hasil pendapatan,,,,,"koloh, pikoloh"
hasil perbuatan,,,,,karmaphala
hati,ati,ati,angen,,
haturan,banten,,,sesajen,
haturkan,,,,,angus
haus,bedak,bedak,kasatan,,
haus,bedak,kasatan,kasatan,,
hawanya panas,,,,,mlekpek
heboh / banyak orang tahu,iur,,,ketah,
helai,"bidang, lempir, lembar",bidang,lempiran,,
helai,,,,,lempir
hemat,,,,,inih
henau,,,,,jaka
hendak,"lakar, bakal, jagi","pacang, jaga, praya","jagi, pacang, praya",,
"hening, bersih",suci,,,"nirmala, hening",
"henti, berhenti","reren, mareren",,,rarian. mararian,
"Henti,tahan",,,,,cadel
heran,"ngon, bengong, gawok","angob, kasob",kagawok,,
heran,"ngon, bengong",,,angob,
hewan pejantan,,,,,kaung
hewan piaraan,Ubuh-ubuhan,,,ingon-ingon,
hiasan bangungan,,,,,uparangga
hiasan pada penjor,,,,,lamak
hidangan,sagi,sagi,"suguh, pamisuguh",,
hidangan,sagi,,,sodan,
"hidangan, sajen",,,,,soda
hidung,cunguh,cunguh,"irung,grana",,
hidung,cunguh,irung,ungasan,,
hidup,idup,urip,nyeneng,,
hijau,gadang,gadang,wilis,,
hijau,ijo,,,wilis,
"hijau, bergadang",,,,,"gadang, magadang"
hilang,ilang,ical,ical,,
hilang,ilang,,,ical,
hilang,ilang,,,ical,
hilang keberanian,,,,,keskes
hina,,,,,nista
"hina, kotor, petani",,,,,pacul
hitam,selem,ireng,ireng,,
hitam,badeng,,,ireng,
hitam,selem,,,"ireng, cemeng",
hitung,petek,,,"etang, wilang",
"hitung, menghitung","entang, ngentang",,,"wilangan, ngliwang",
"hormat, hormati",,,,,"sungkem, sungkemin"
"hormat, sangat hormat",,,,,subakti
"hormat, sujud, taqwa",,,,,bakti
hujan,hujan,sabeh,sabeh,,
hujan,ujan,,,"sabeh, riris",
hujan lebat,,,,,bales
hukuman,,,,,ukuman
hulu hati,uluati,uluati,uluangen,,
hulu kepala,pabaan,wunwunan,siwaduara,,
huruf,santra,aksara,aksara,,
huruf,,,,,aksara
hutan,alas,alas,wana,,
hutan,alas,,,"wana, arania",
hutang,,,,,utang
ibu,meme,meme,biang,,
ibu jari,inan lima,,,gusta,
ibu jari ,Inan lima,Inan lima,musti,,
ijin,ijin,pamit,"pamit, lugra",,
"ijinkan, berikan, beri",baang,wehin,icen,,
ijuk,,,,,"duk, eduk"
ikan,bepasih,ulamsegara,ulam,,
ikan teri,,,,,gerang
"ikan, daging",be,,,"ulam, mina",
ikat,"tegul, nalinin",iket,iket,,
ikat,iket,,,banda,
ikat,tegul,,,"iket, banda, ringkes",
ikat pinggang,sabuk,sabuk,papetet,,
ikat tangannya ,,,,,Caling
"ikat, mengikat",,,,,"iket, ngiket"
"ikat, satu ikat",,,,,"gabung, agabung"
"ikat, satu ikat",,,,,"pesel, apesel"
"ikat, seikat bawang/jagung ",,,,,"gebeng, agebeng"
ikut,milu,Ngetut saking ungkur,Ngetut saking ungkur,,
ikut,bareng,,,sareng,
ikut,milu,,,"sareng, milet",
ikut menari dengan penari joged,,,,,"ibing, ngibing"
"ikut serta, ambil bagian",,,,,"tempung, matempung"
"ikut serta, mengambil alih","barengin, milu",sarengin,sarengin,,
"ikuti, mengikuti",,,,,"tututin, nututin"
ilalang,ambengan,,,warikusa,
iler,,,,,"teteh, neteh"
ilmu,,,,,aji
ilmu hitam,leak,,,desti,
ilmu hitam,pangleakan,,,pangiwa,
ilmu pengobaran tradisional Bali,,,,,usada
"ilmu, pelajaran",plajahan,,,"aji, pengajah-ajah",
imbuhan,wewehan,,,wuwuhan,
inap,inep,inep,rerep,,
"inap, menginap","inep, nginep",,,"rerep, marerepan",
indah,,,,,asri
indonesia,indonesia,indonesia,indonesia,,
"indra, hawa nafsu",,,,,indria
indu,,,,,"ina, inan"
Inenmkul dengan jari berlipat,,,,,"Sontok, nyontok"
ingat,ingetteken,elingring,elingring,,
ingat,inget,,,eling,
ingat,inget,,,eling,
ingatkan,wangsitang,elingang,elingang,,
ingin,dot,meled,"arsa, makayun",,
ingin,"edot, meledteken",dot,meledang,,
ingin bersetubuh,buang,,,kasmaran,
ingin sekali,sarat,kedeh,pisereng,,
"ingin sekali, semangat",sarat,,,pisereng,
"ingka, piring anyaman",,,,,ingka
ingkar,linyok,,,piwal,
"ingkar, mengingkari",,,,,"pegok, megokang"
ingus,tenges,tenges,"eled, lemes",,
ingus,tenges,,,"lemes, eled",
ini,ene,"niki, puniki",puniki,,
ini,ene,,,puniki,
ini,,,,,"niki, puniki"
"injak, menginjak",,,,,"enjek, ngenjek"
"injak, menginjak",,,,,"jekjek, nyekjek"
"injak, menginjak-injak",,,,,"ingsak, ngingsak"
intan,,,,,inten
inti hakikat,,,,,tetuek
"inti, isi",unteng,,,"daging, isi",
intinya,intinne,,,untengnyane,
"intip, mengintip, mengintai",,,,,"intip, ngintip"
intisari,,,,,sari
"Iomba, berlomba","padu, mapadu",,,"centok, macentok",
ipar,ipah,ipah,ipen,,
"Iri hati, cemburu",Iri hati,irikayun,duleg,,
irihati,"iri, iriati",,,"irsya, matsarya",
iris,iyis,iyis,iyis,,
"iris, mengiris","iis, ngiis",,,"iris, ngiris",
"iris, mengiris",,,,,"iris, ngiris"
isap,isep,,,uyup,
"isap, mengisap","sesep, isap",ngisep,ngisep,,
"isap, mengisap",,,,,"isep, ngisep"
"isap, mengisap",,,,,"sepsep, nyesep"
"iseng aja, pikiran tak matang",,,,,"ranyig, ngranyig"
"iseng, coba-coba",,,,,"iseng, iseng-iseng"
isi,isi,daging,pidaging,,
isi perut,jeron,,,jejeron,
"isi, berisi","isi, misi",,,"daging, madaging",
"isi, mengisi","isinin, urugin",dagingin,dagingin,,
isikan,jangin,,,dagingin,
istana,puri,puri,puri,,
isteri,"somah, kurenan","timpal, istri","rabi, istri",,
istimewa,"minakadi, mikadi",utama,utama,,
istirahat,mereren,masandekan,marerean,,
istri raja,,,,,pramesuari
isyarat,,,,,sipta
"isyarat, petunjuk",wangsit,,,"sipta, pawuwus",
itik,bebek,,,kambangan,
itu,ento,punika,punika,,
itu,ento,,,punika,
itu,,,,,"nika, punika"
iuran wajib,,,,,paturunan
iya,aa,,,inggih,
iya,nah,,,inggih,
jadi,"tulus, payu",durus,,,
jadi,"tulus, payu",,,durus,
"jaga, mengamati","gebag, nyaga",kemit,kemit,,
"jaga, menjaga","ijeng, ngijeng",,,"kemit, ngemit",
"jaga, menjaga","jaga, nyaga",,,"abih, ngabih",
"jaga, menjaga","jaga, nyaga",,,"gebab, ngebab",
jagung,jagung,,,drona,
jagung,,,,,jagung
jahat,jele,"kaon, ala",kaon,,
"jahat, bohong",corah,,,"dusta, langgia",
"jahat, penjahat",,,,,durjana
jahe,jae,,,cipakan,
jahit,jait,jait,jait,,
jajan,jaja,,,sanganan,
"jajan lapis, kain lapis baju",,,,,lapis
"jajar, jejer",,,,,ririg
jala penangkap ikan,,,,,pencar
"jalak, menjalak",,,,,"kongkong, ngongkong"
jalan,"jalan, rurung","marga, margi",margi,,
jalan,jalan,,,"margi, marga",
jalan,rurung,,,"margi, marga",
"jalan kecil,jalan alternatif",,,,,"sunut, nyunut"
jalan menurun,,,,,"jrogjor, nyrogjog"
"Jalan rusak,berlumpur",,,,,Buug
jalan setapak,,,,,tlajakan
jalan turun,,,,,nyrengseng
jalan-jalan,,,,,"lincak,nglincak"
"jalannya, perjalanan",pajalan,,,"pamargi, pamargin",
Jalar tumbuh-tumbuhan ,,,,,Bun
jam segini,kalijani,,,kalimangkin,
"jam, arloji",jam,jam,jam,,
jambu,,,,,nyambu
jamur,,,,,oong
"jamur, orang",,,,,wong
janda,balu,rangda,landa,,
jangan,eda,sampunang,"Sampunang, tan dados",,
jangan,eda,,,sampunang,
janggut,jenggot,"janggut, rerawe",cerawis,,
janin,belingan,bobotan,manik,,
janji,"janji, semaya",sengketa,subaya,,
janji,janji,,,semaya,
janji,sobaya,,,semaya,
"janji, kaul","sangi, sesangi ",,,"sasaudan, bisama",
"jantan, pemberani, laki-laki",,,,,purusa
jantung,"papusuhan, ati",papusuhan,papusuhan,,
jantung,pepusuhan,,,pusuhan,
janur,busung,,,janur,
jarang,"kapahkapah, langahlangah",arangarang,arangarang,,
jarang,kapah,,,arang ,
jarawat,,,,,giat
jari,jriji,jriji,"Huli, agrakara",,
jari kaku bertekuk,,,,,kiting
jari manis,lek,,,anamika,
jaring,,,,,jaring
jaring kecil bertangkai,,,,,sau
jarit lipatan kain,,,,,kelim
"jarit, menjari",,,,,"jait, nyait"
jaro-jaro,,,,,jaro
jarum,jaum,jaum,jaum,,
jarum,,,,,jaum
"jas, baju",bajujas,kuacajas,kuacajas,,
jatuh,labuh,labuh,runtuh,,
jatuh,"labuh, ulung",runtuh,"runtuh, tiba",,
jatuh,ulung,,,runtuh,
jatuh,,,,,cepol
jatuh berpercikan,,,,,cretcet
jatuh ke air,,,,,clempung
jatuh terduduk,,,,,"pangseg, mapangsegan"
"jatuh, tertinggal",,,,,"kecag, ilang"
jauh,joh,"doh, adoh","doh, adoh",,
jauh,joh,,,doh,
"jauh, luar",,,,,dura
jawab,jawab,,,"sahurin, cawis",
jawaban,pesaut,pesaur,"pesaur, sahur",,
jawaban,pesaut,pesaur,,,
jebak,,,,,belet
jejaka,truna,,,truni ,
"jejal, dijejal",,,,,"jejel, jeljela"
jejerkan,,,,,"derek, ririg"
jelas,jelas,,,tatas,
jelek,"jele, corah",corah,"kaon, durgama",,
jelek,kasar,,,kaon,
"jelek parasnya, bodoh",,,,,bodo
jelek rupanya,,,,,bocok
"jelek, buruk","jele, jelek",,,"kaon, nenten becik",
jembatan,"kreteg, titi","kereteg, titi","kreteg, titi",,
jembatan,,,,,kreteg
jembatan,,,,,titi
jemput,pagpag,pagpag,pendak,,
"jemput, menjemput",,,,,"papag, mapag"
"jemur, berjemur",,,,,"inyah, nginyah"
"jemur, menjemur",,,,,"jemuh, nyemuh"
jendela,jendela,gendela,gendela,,
"jengah, dendam",jengah,jengah,wiroda,,
jenggot ,jenggot,jenggot,rawe,,
jenis bumbu sayur,,,,,pecel
jenis burung elang,,,,,sikep
jenis dulang tak berkaki,,,,,kapar
jenis kramana atau warga adat,,,,,pangele
"jenis marga, nama keturunan",,,,,pande
Jenis Rumput laut,,,,,Bulung
jenis tarian lepas,,,,,legong
"jenis, macam",,,,,soroh
"jepit, menjepit",,,,,"jepit, nyepit"
"jera, kapok",,,,,kapok
"jerami, pohon padi",,,,,sumi
jerat,,,,,jeet
jernih,ening,ening,"suci, nirmala",,
jeruk,juuk,,,"kilang, jeruk",
jeruk,,,,,juuk
"jijik, benci",,,,,geting
jika,ambul,,,yening,
"jika, bilamana","yan, yen",,,"yening, prade",
"jikalau, jika","yen, yan, yening, lamun",yening,"yen, yan",,
"jilat, menjilat",,,,,"silap, nyilapin"
jinak,boh,"manuh, monoh",manuh,,
jinak,,,,,boh
"jinjing, menjinjing",,,,,"tadtad, nadtad"
"jinjing, menjinjing",,,,,"tengkeng, nengteng"
"jiwa, roh, arwah",atma,atma,jiwatma,,
jodoh,jodo,,,jatukarma,
"jolok, tusuk",,,,,ancuk
jongkok,,,,,"jongkok, nyongkok"
"jorok, tidak rapi",,,,,romon
"jual, menjual","adep, ngadep",,,"adol, ngadol",
juga,"masih, jua",teler,ugi,,
juga,"masi, masih",,,taler,
"jujur, adil",polos,polos,darma,,
juling,,,,,"jerang, sengat"
juling,,,,,sengat
juling,,,,,sero
"jumlah banyak, sajen tinggi",,,,,"gebog, gebogan"
"jumlah, banyak","liune, liu",Akeh ipun,Katah ipun,,
"jungkir, menjungkir",,,,,"jungkling, nyungkling"
junjung,"suun, nyuun",suun,junjung,,
jurang,,,,,grembengan
"juri, penilai",,,,,panureksa
"juru, tukang",,,,,juru
"jurusan, arah","tuju, tetujon",pengapti,pengapti,,
juta,juta,,,yuta,
"Kabar angin, gosip, kabarburung, isu",orta angin,Orti angin,kepiran,,
kaca,,,,,kaca
kaca,,,,,kaca
kacamata,kacakacamata,kacamata,kacapangsian,,
kacamata,kacamata ,kacamata,kasna,,
kacamata,kacamata,,,kasna,
kacang hijau yang tumbuh kecil,,,,,kecai
kacang hijau yang tumbuh panjang,,,,,kecambah
kacang tanah,kacang cina,kacang goreng,kacangabutin,,
kacau,,,,,baur
kacau-balau,,,,,benyut
Kadang-kadang,"dikenkene, kapah-kapah",,,diasapunapine,
kadangkala,,,,,napkala
"kadung, terlanjur",kadung,,,kaduk,
"kagum, bengong",bengong,,,"angob, kelanguan",
"kail, pancing",,,,,pancing
kain,kamben,kamben,wastra,,
kain dalam,tapih,,,sinjang,
kain dipakai melintang di pinggang,,,,,slempot
kain putih,,,,,kasa
kain serbaan dikepala,,,,,tengkuluk
"kain, lap, pakaian","kamen, sebet",wastra,wastra,,
"kais, mengais",,,,,"kehkeh, ngehkeh"
"kait, lekat, terkait, melekat",,,,,"etet, ngetet"
kaitan,sangket,sangket,sangket,,
Kaka tua,"nuri, atat",nuri,nuri,,
kakak laki-laki,beli,beli,raka,,
kakak perempuan,embok,embok,raka,,
Kakak perempuan,mboknyama,rakaisteri,raka,,
kakaklaki,"beli, bli",raka,raka,,
kakek,pekak,kaki,kakiang,,
kakek,pekak,kakiang,kakiang,,
Kakek buyut,kumpi,kumpi,kompyang,,
kakeknya kakek,,,,,buyut
kaki,batis,buntut,cokor,,
kaki agak pincang,,,,,kejet
kaki sebelah yang kecil,,,,,picih
kaku,,,,,kekeh
kaku pikirannya,,,,,sigug
kalah,"kaon, kalah",kaon,kaon,,
kalah,kalah,,,"kaon, kasor",
kalajengking,teledu,,,druta,
kalajengking,,,,,tledu
kalelawar,lelawah,,,"ambana, batuka",
kali,"jelinjing, tlabah",telabah,telabah,,
kali,pang ,,,ping,
kalimat,lengkara,lengkara,lengkara,,
kalimat,,,,,lengkara
kalimat berita,,,,,lengkara pamidarta
kalimat perintah,,,,,lengkara panguduh
kalimat tanya,,,,,lengkara pitaken
"Kalong,Kelelawar besar",,,,,Bukal
kalung,kalung,kalung,kiratbau,,
kalung,kalung,,,rante,
"Kamar mandi, pemandian",kayehan,pesiraman,beji,,
"kamar, bilik",kamar,kamar,kamar,,
kambing,kambing,kambing,wedus,,
kambing pejantan,,,,,domba
kambuh,ngentah,,,kumat,
kampuh,saput,,,kampuh,
kanan,kengawan,tengen,tengen,,
kanan,"kenawan, tengawan",,,tengen,
kanan,tengawan,,,tengen,
kancing,kancing,pingel,pingel,,
kandang,bada,kandang,kandang,,
kandang,,,,,bada
kandang babi,,,,,glogor
kanggo,kanggo,,,kangge,
"kantong, saku",kantong,kantong,kantong,,
Kaos kaki,kasut,kasut,kasut,,
kapak,"kapak, belakas","kapak, belakas","kapak, belakas",,
kapak yang tangkainya panjang,,,,,kandik
Kapal laut,kapal,kapal,kapal,,
kapan,buinpidan,malihpidan,malihpidan,,
kapas,,,,,gamet
kapuk,,,,,kapuk
kapur,pamor,,,apuh,
karang,gurit,,,kawi,
karangan,karangan,,,"reriptan, awi-awian",
karcis,kercis,kercis,kercis,,
"karena, sebab",krana,,,"duaning, santukan",
"karena, sebab","mapan, sawireh",,,"duaning, santukan",
"karena, sebab","reh, wireh, sawireh",,,"duaning, santukan",
"karena, sebab",sawireh,,,"duaning, santukan",
karung beras,,,,,kampil
kasar,kasar,,,jabag,
kasar,,,,,jadig
"kasar, kurang halus",,,,,kasap
"kasar, kurang licin, tidak lancar",,,,,seket
"kasi, beri",baang,"wehin, aturin",icen,,
kasih sayang,,,,,tresna
"kasih, sayang, cinta","tresna, pitresna","asih, piwelasan",asih,,
"kasihan, segan",,,,,edalem
"kasihani, mengasihani",,,,,"pedalem, medalem"
kasleo,,,,,"lih, elih"
"kasta, bangsa",soroh,,,wangsa,
"kasta, keturunan",,,,,wangsa
kasur,kasur,,,tilam,
kasur,,,,,kasur
kasur kecil untuk anak-anak,,,,,tilam
kata,munyikruna,"raos, pajar",suarakruna,,
kata,,,,,kruna
kata benda,,,,,kruna aran
kata berasal,,,,,kruna polah
kata bilangan,,,,,kruna wilangan
kata dasar,,,,,kruna lingga
kata depan,,,,,kruna pengarep
kata ganti,,,,,kruna pengentos
kata kerja,,,,,kruna kria
kata keterangan,,,,,kruna katrangan
kata majemuk,,,,,kruna satma
kata sambung,,,,,kruna pangiket
kata sambutan,raos panamiu,,,sembrama wecana,
kata sandang,,,,,kruna sandang
kata sifat,,,,,kruna kahanan
kata turunan/berimbuhan,,,,,kruna tiron
kata ulang,,,,,kruna dwi lingga
kata ulang berubah bunyi,,,,,kruna dwi samatralingga
kata ulang murni,,,,,kruna dwi samalingga
kata ulang perubahan suku akhir,,,,,kruna dwi wesana
kata ulang semu,,,,,kruna dwi maya lingga
katak,,,,,katak
"katak, kodok",,,,,godogan
katakan,orahang,pajarang,baosang,,
katanya,kone,kocap,kocap,,
katek,,,,,kate
"kawan, kawan, sahabat, teman","timpal, kakasihan, patawangan",switra,switra,,
"kawan, kerjasama",,,,,"saing, mesaing"
kawat,,,,,kawat
kawin,"nganten, makurenan",marabian,merabian,,
kawin,anten,,,wiwaha,
kawin,nganten,,,mawiwaha,
kawin binatang,masaki,,,karuh,
kawin lari,,,,,"rangkat, merangkat"
"kawin pantang, tidak dibenarkan ",,,,,"gamia, gamia gemana"
kaya,sugih,"sugih, kaya",kaya,,
kaya harta,,,,,sugih
kayu,taru,taru,taru,,
kayu,kayu,,,taru,
kayu balok di atas tembok,,,,,lambang
kayu cendana,,,,,cenana
kayu di bawah scjajar lambang,,,,,sunduk
kayu hidup buat pagar,,,,,turus
kayu melintang dipasang pada leher babi,,,,,plangka 
kayu pipih buat ngaduk,,,,,siut
ke barat,,,,,"ngawang,ngawangang"
ke mana,,,,,kija
ke sana ke mari,ileh-ileh,,,merika-meriki,
keadaan,kadaan,,,"kahanan, kawentenan",
"keadaan, zaman",aab,,,kahanan,
keapa yang hampir kering,,,,,iat
"keasyikan, terpesona",kalangen,,,"kadalon, ulangun",
kebanyakan,liunan,akehan,makehan,,
kebetulan,"ketuju, kebenengan",rinuju,rinuju,,
kebetulan,kabenengan,,,katepetan,
"kebiasaan, adat","adat, turah, prah",tatacaraadat,adatkrama,,
"kebiasaan, tata cara",perah,,,gegaduhan,
"kebiri, mengebiri",,,,,"teres, neres"
kebun,"abian, kebon",kebonan,pakebonan,,
kebun,,,,,tegal
kecap,,,,,kecap
kecelakaan,sengkala,"sengkaon, sinangkaon",sinangkala,,
"kecewa, putus asa",Kuciwa,kuciwa,kuciwa,,
kecil,cenik,alit,alit,,
kecil,"cenik, cerik",alit,alit,,
kecil,cenik/cenik,,,alit,
kecil,,,,,"geles, alit"
"kecil, kurus kotor",,,,,bengil
kecoak,,,,,temuyukan
kecuali,sajabaning,sajawining,sajawining,,
kecuali,,,,,sajaba
kedua,Ane ping pindo,Sane kaping kalih,Sane kaping ro,,
kedua,kaping dua,,,kaping kalih,
keduanya,Maka dadua,Maka kalih,sarengkalih,,
"kedudukan, duduk","tegak, negak",,,"linggih, malinggih",
keguguran,ngulungang,karuron,brunaha,,
keguguran kandungan,,,,,karuron
"kehendak, pikiran, tujuan",kenehnget,"manah, pikenyet",pikayun,,
kehilangan kekuatan gaib,,,,,punah
kejar,"uber, ulah, nguber",ulati,ulati,,
"kejar, mengejar",,,,,kepung-ngepung
"Kejar,Memburu",,,,,Buru
"kekang, mengekang",,,,,"ret, ngeret"
kekasih raja di luar perkawinan,,,,,seli
kekayaan,kasugihan,,,"artabrana, sedana",
kelabu,kelau,"abu, abu, kelau","abu, abu, kelau",,
"kelak, kemudian hari",,,,,"wekas, wekasan"
kelakuan,"solah, abet, bikas","bikas, laksana","laksana, tingkah",,
"kelakuan, tabiat, kebiasaan, watak","abet, tingkah, bikas","solah, ulah","polah, pari, solah",,
kelambu,klambu,langse,langse,,
kelapa,kelian/kelihan,,,manggala,
kelapa,nyuh,,,kelapa,
kelapa muda,,,,,klungah
kelapa muda,,,,,kuud
kelapa sanngat muda,klungah,,,kasutri,
"kelapa, nyiur",nyuh,kelapa,kelapa,,
kelaparan,terak,Kirang ajengan,kirang pangan,,
kelelawar,lelawah,lelawah,lelawah,,
kelentungan,,,,,kroncongan
kelereng,,,,,guli
kelian subak,,,,,pekaseh
kelihatan,"jlawat, majlawatan",,,"kanten, makanten",
kelingking,kacing,kacing,calilingan,,
kelip-kelip,,,,,"kedep, kedep-kedep"
"keliru, tak terpikirkan",,,,,blinger
keluar,pesu,pesu,"medal, mijil",,
keluar,pesu,medal,"wetu, medal",,
keluar mendadak dengan bunyi desis,,,,,"keplus, makeplus"
keluar seketika,,,,,"kebles, makebles"
keluar serta merta,,,,,"keplos, makeplos"
keluarga,braya,braya,semeton,,
keluarga,,,,,kulawarga
keluarkan,pesuang,,,medalang,
kemana,Kija,kija,kija,,
kemarau,endang,galang,galang,,
"kemari, kesini",mai,meriki,meriki,,
"kemari, kesini",mai,,,mriki,
kemarin,"dibi, ibi",dibi,dibi,,
kemarin,ibi,,,dibi,
"Kemarin dulu, kemarin lusa",ipuan,Kalih rahina,Kalih rahina,,
kemarin malam ,ibilemeng,,,kalih rahina wengi,
kematian,kamatian,,,kalayusekaran,
kembali,melipetan,matulak,mantuk,,
kembali ,mabalik,,,"mawali, mawantun",
kembang sepatu,,,,,pucuk
kembung,,,,,kembung
kemeja,"baju, kelambi",kuaca,kuaca,,
kemenakan,"kaponakan, anak dimisan","kaponakan, pianak misan","Oka semeton, oka ring siki",,
kemenakan,kaponakan,,,okan semeton ngarep,
kemenangan,kemenangan,kemolihan,kemolihan,,
kemiri,tingkih,,,kameri,
kemiri,,,,,tingkih
kemudian,"binpidan, durian",malihpidan,pungkur,,
kena,kena,keni,keni,,
kena,kena ,,,keni,
kena dengan cepat,,,,,"tumpel, numpel"
kenalan,tetawangan,pepauningansuwitra,suwitra,,
kencang,,,,,baret
kencang,,,,,kenyat
kencang,,,,,kenceng
"kencang, lurus tegang",,,,,enteng
kencing,ngenceh,manyuh,mawarih,,
kencing,ngenceh,mabanyu,mawarih,,
kendaraan,tegakan,tegakan,palinggihan,,
kendaraan,tegakan,,,"wimana, palinggihan",
kendi,"caratan, gebeh",caratan cecepan gebeh,Cecepan gebeh,,
kentongan,kulkul,,,gendongan,
kentut,entut,entut,ampru,,
kenyang,betek,wareg,waneh,,
kepada,teken,ring,ring,,
kepala,"sirah, tendas",duur,sirah,,
kepala,tenggek,,,ulu,
"kepala banjar, desa adat",,,,,"klian, kelihan"
Kepala batu,bengkung,Tebel kuping,punggung,,
kepala desa,,,,,prabekel
"Kepala desa, kepaladusun, ketua",kelian,kelian,kelian,,
kepanjangan,,,,,lambih
kependekan,,,,,gantut
kepercayaan,sadin,percaya,percaya,,
kepingin,"dot, edot",,,meled,
"kepingin, selera",,,,,"nyud, enyud"
kepintaran,keduegan,,,"kawikanan, kaweruhan",
kepiting,,,,,kepiting
"kepul, mengepul",,,,,"lepuk, malepuk"
"Kepunyaan, milik",,neruenang,nrebenang,,
keputusan,"putus, putusan",,,pararem,
kera,bojog,,,wenara,
kera abu-abu,,,,,bojog
"kera, monyet",bojog,"were, ore","were, wenara",,
kerabat,nyama,nyama,sameton,,
"kerak, dasar nasi yang keras",,,,,entip
"keram, mengeram",,,,,"keem, ngeem "
keramas,mambuh,mambuh,makramas,,
keramas,ambuh,,,kramas,
keramat,tenget,,,"pingit, angker",
keras,keras,,,"rahat, banget",
keras,lutung,,,wenara,
keras,,,,,katos
keras memperlakukan orang,,,,,gemes
"keras, tegas dan marah",,,,,jengat
"kerat, mengerat",,,,,"godot, ngodot"
kerbau,kebo,kebo,kebo,,
kerbau,,,,,kebo
Kerbau putih,misa,"misa, kebo bule",Misa bule,,
"kerdil, tumbuhnya tidak normal",,,,,puret
kerikil,,,,,jlijih
kering,tuh,"kering, letuh",letuh,,
kering,,,,,tuh
keringat,peluh,peluh,priget,,
keringat,peluh,peluh,keringet,,
keringet,peluh,,,pringet,
keringkan dekat api,,,,,"dadang, nadang"
keris,kadutan,,,sungklit,
keris,,,,,"keris, kadutan"
keriting,,,,,berit
kerja,"gae, pagaenan, gegarapan",karya,"kariya, pekaryan",,
kerja wajib,,,,,ayah
"kerja, membuat","gae, ngae",,,"karya, makarya",
"kerja, mengerjakan","garap, ngarap",,,"karya, ngeryanang",
kerongkongan,kolongan,kolongan,kekulung,,
kerongkongan tersumbat,,,,,sukak
kertas,"deluang, kertas",kertas,kertas,,
kertas,,,,,dluang
keruh,puek,,,kutek,
keruh,,,,,"putek, puek"
"keruk, ngeruk",,,,,"keduk, ngeduk"
kerumini,,,,,ngrunyung
"kerumun, mengerumuni",,,,,"serung, nyerung"
"kerusakan, rugi",kapocolan,rugi,rugi,,
"kesal, menyesal",,,,,engsek
kesana,kema,,,meika,
kesatria,,,,,satria
kesempatan,"sela, tempo","sela, senggang",senggang,,
kesimpulan,kesimpulan,,,pacutetan,
