Indonesia,Andap,Alus Sor,Alus Singgih,Alus Mider,Mider
"bakul, keranjang",keranjang,keranjang,keranjang,,
balas,bales,,,wales,
"bale-bale, dipan",,,,,asagan
balik,balik,,,"wali, walik, wantun",
balik,,,,,bading
balok kecil baha atap bangunan,,,,,usuk
balut,,,,,bedbed
bambu,tiing,,,"gesing, pering",
bambu atau papan penutup ujung usuk,,,,,kolong
"bandel, kukuh kaku",,,,,bengkung
banding,banding,,,imbang,
bangga,,,,,bangga
bangkarung,,,,,lelasan
bangku,"dingklik, dampar",dampar,dampar,,
bangku duduk,,,,,dampar
bangsa,"wangsa, soroh","sorot, wangsa","linggih, wangsa",,
bangsawan,,,,,arya
bangun,bangun,bangun,matangi,,
"bangun suci, pamereman puri",,,,,gedong
bangunan banjar,,,,,bale banjar
bangunan darurat untuk sementara waktu,,,,,"rompok, rerompok"
bangunan induk di pura desa,,,,,bale agung
bangunan pura tempat sesajen,,,,,piasan
bangunan sementara untuk upacara,,,,,"taring, tetaring"
bangunan sementara untuk upacara adat,,,,,"taarub, tetarub"
Bangunan Suci,,,,,Candi
bangunan suci di pura,,,,,meru
bangunan suci lingga Ratu Ngurah,,,,,tugu
bangunan tempat menyimpan padi,,,,,lumbung
bangunan umum di dekat pura,,,,,wantilan
bangunkan,"dundun, nundun",,,"tanginin, nanginin",
banjar,,,,,banjar
banjir,blabar,,,blabur,
bantal,galeng,bantal,bantal,,
bantal,galeng,,,"pendek, pependek",
"banting, membanting",,,,,"pantig, mantigang "
bantu,"oop, oopin",,,wantu,
bantu,tulung,,,wantu,
bantu angkat barang,ootin,,,tanganin,
"bantu, menaikkan","uot, nguotin",,,tanganin,
"bantu, tanggung bersama",,,,,romba
banyak,"liu, liyu",akeh,"katah, kabeh",,
banyak,begeh,,,akeh,
banyak,liu,,,"akeh, katah",
banyak,"ombe, ombeh",,,akeh,
banyak,sepala,,,"akeh, katah",
Banyak masalah,,,,,Buut
banyak tumbuh,,,,,"tropos, patropos"
bapak mertua,matua muani,aji saking lanang,aji saking lanang,,
"bapak, ayah","bapa, nanang","bapa, ayah, rama",aji,,
"bapak, ayah","nanang, bapa",,,"aji, ajik, ajung",
bara,baa,,,bara,
barang,"barang, berana",berana,berana,,
"barang - barang kaca, keramik",,,,,gedah
barang dagangan,barang barang dedagangan,barang barang dedagangan,barang barang dedagangan,,
barang siapa,nyen ja,sapa sira ja,sapa sira ugi,,
barang yang harus dikerjakan,,,,,pasuh
"barang, benda","brana, reramon",barang,bebanderan,,
barat,kauh,kulon,kulon,,
barat,kauh,,,"kulon, pascima",
barat,,,,,kauh
baratlaut,kajakauh,,,wayabia,
"baring, berbaring",,,,,"jlempang, nyelempang"
"baring, berbaring",,,,,"lingkuh,malingkuh"
baru,"busan, mara",wawu,wawu,,
baru,mara,wawu,wawu,,
baru,anyar,,,sukla,
baru,mara,,,wawu,
baru,,,,,anyar
basah,,,,,belus
basah,,,,,"beseg, belus"
basah kuyup,,,,,"lepeg, lepegan"
basah kuyup,,,,,"licit, licitan"
"basi, benalu",,,,,"pasil, kapasilan "
bata,"bata, citakan",citakan,bata,,
batal,buung,wangde,urung,,
batal,buung,,,"urung, wangde",
batara siwa,,,,,siwa
batas,bates,,,wates,
batas,belat,,,wates,
"batas, membatasi",,,,,"sengker, nyengker"
batu,"batu, waktu",watu,silawatu,,
batu,batu,,,"watu, sila",
batu bata di lubang dapur,,,,,jalikan
batu karang,kaang,,,karang,
batu paras,,,,,paras
batu tulis,,,,,karas
batu-bata,,,,,bata
batu-batu kecil buat jalan,,,,,prigi
batuk,"dekah, kokohan",watuk,watuk,,
batuk,kohkohan,,,watuk,
batuk ,,,,,cekoh
batuk kering,,,,,cekeh
bau,"bonandih, pengit",ambu,ambu,,
bau,ebo,,,ganda,
bau tak sedap,,,,,sepek
"baui, membaui","adek, ngadek",,,"ambu, ungas, ngungasin",
bawa,aba,buat,bakta,,
bawa di perut,,,,,kadut
bawaan,aban-aban,bebuatan,bebaktan,,
bawah pinggul,,,,,"kempol, gempol"
bawak,bontok,,,cendek,
bawang merah,bawang,,,jasun,
bawang merah,,,,,bawang
bawang putih,kesuna,,,crabon,
bawang putih,,,,,kesuna
bayang-bayang,,,,,lawat
bayar,"bayar, mayah","taur, nahur","taur, tawur",,
"bayar, membayar","bayah, mayah",,,naur,
bayi,,,,,rare
Bayi kembar laki-perempuan ,,,,,Buncing
"bayi, anak kecil","rare, anak cenik",anak alit,jadma alit,,
bea,beya,,,pajeg,
bebas,"luput, bebas",luput,luput,,
bebas,,,,,bebas
bebas,,,,,lepas
bebas,,,,,luput
Bebas keluar-masuk,,,,,Caluh
bebek,bebek,,,andara,
beberapa,Makudang kudang,Pirang pirang,Pirang pirang,,
beberapa,,,,,makudang-kudang
becek,,,,,benyek
becek menjijikan ,,,,,cem 
beda,,,,,bina
bedak,pupur,,,lepa,
begini,kene,sapuniki,sapuniki,,
begini,kene,,,sapuniki,
begitu,keto,asapunika,"sapunika, kenten",,
bekal,bekel,,,sangu,
bekas luka,,,,,biket
"bekas, mantan",laad,,,pecak,
"bekas, pakaian bekas",,,,,"lad, laad, leledan"
"bekas, pernah",,,,,pecak
bekerja,magae,makarya,makariya,,
bekerja,magae,,,makarya,
bela,,,,,bela
bela,,,,,elon
belah,sibak,,,siwak,
"belah, membelah",,,,,"empug, ngempug"
"belah, membelah dua",,,,,"sibak, nyibak"
"belah, pecah",,,,,sigar
belajar,,,,,"plajah, mlajah"
belajar,,,,,melajah
belakang,dori,,,"ungkur, pungkur",
belakang,duri,,,"ungkur, untat",
belakang,"uri, duri",,,"ungkur, untat",
belakangan,durinan,,,ungkuran,
belalang,"balang, walang",walang,walang,,
belalang,balang,,,walang,
belalang,,,,,balang
belas kasihan,olas,olas,"lugra, ledang",,
belas kasihan,kangen,,,welas asih,
beleran,,,,,wlirang
beli,"beli, meli",tumbas,tumbas,,
"beli, membeli","beli, meli",,,"tumbas, numbas",
belibis,blibis,,,drawata,
belikan,beliang,tumbasang,tumbasang,,
"belit, membelit",,,,,"lilit, ngalilit"
"belok, berbelok",,,,,"lekok, malekok"
"belulang, balu, tulang",belulang,belulang,belulang,,
belum,tonden,durung,dereng,,
belum,"tonden, konden",durung,dereng,,
belum,"konden, tonden",,,"durung, dereng",
belum,"tonden, konden",,,"durung, dereng",
belum tidur,"endus, ngendusin",,,durung merem,
belut,,,,,lindung
belut besar,,,,,kulen
benang,benang,benang,benang,,
benang,benang,,,lawe,
benar,"saja, beneh","beneh, yakti",wiakti,,
benar,saja,,,"wiakti, sayuakti",
benar,tuhu,,,"sujati, jati",
"benar, betul",beneh,,,patut,
"benar, betul, sungguh",jati,,,"jakti, wiakti, sayuakti",
bencana,,,,,bencana
"benci, dendam",,,,,doleg
"benci, marah dengan","gedeg, pedih, geting","bendu, dukabesus",duka,,
bendahara,bendahara,,,patengen,
bendera,"kober, bendera",kober,kober,,
bendera,kober,,,duaja,
"bendung, membendung",,,,,"empel, ngempel"
"bener-bener, pasti",seken,,,"jakti, sayuakti, pastika",
bengis,bangras,,,wirosa,
bengkak,beseh,beseh,beseh,,
bengkak,,,,,beseh
bengkok,bengkot,lengkong,"bengkuh, bengkot",,
bengkok,,,,,bengkot
bengkok,,,,,lengkong
benih,bibit,,,"wiwit, winih",
Benih Padi,,,,,Bulih
"benih, bibit, biji","binih, bulih, bibitan","bibitan, wenih",wenihan,,
bentak,,,,,ambres
"bentak, membentak",,,,,"gebrag, ngebrag"
"bentang, bentangkan",,,,,"embat, embatang"
"bentang, rentang",,,,,kebat
bentuk,"bangun, goba",,,wangun,
bentuk,,,,,wangun
"bentuk, berupa",,,,,pindan
bepergian,"indeng, ngindeng",,,melelungan,
berada di dekatnya,,,,,"damping, namping"
berak orang diare,,,,,encit
berakibat,makrana,,,"mawastu, mawinan",
berangkat/pergi,luas,,,lunga,
berani,"bani, wanen",purun,wira,,
berani,wanen,"juari, purun",wira,,
berani,bani,,,"purun, prasangga",
berani,,,,,wanen
berani melampaui,langgia,,,prasangga,
berantakan,,,,,"glantes, nglantes"
berapa,kuda,kuda,kuda,,
berapa,,,,,akuda
berapa,,,,,kuda
berapa banyak,"kuda, kudang kuda",akuda,kudang kudang,,
beras,baas,beras,beras,,
beras,baas,,,beras,
beras sangat bersih,galih,,,beras ceruhan,
berat,baat,"abot, berat",abot,,
berat,baat,,,"abot, rahat",
"berat, sukar",baat,"berat, abot","berat, abot, sarat",,
beratnya,baatne,beratipun,bobotipun,,
berawan,magulem,mamega,mega,,
berbahasa tanpa menghormat,,,,,"tebah, nebah"
berbahaya,baya,baya,baya,,
berbakti,,,,,"puja, puja"
berbalik,,,,,"glibeg, nglibeg"
berbaring,"medem, mesare, maebahan","masare, merem",sirep,,
berbaring di tempat tidur,,,,,glayah-glayah
berbaring menghadap keatas,,,,,tungkayak
berbaring sambil mendengkul,,,,,"jengku, nyengku"
