buah,buah_buahan,woh_wohan,woh
buang_melempar,kutang_entungan_sabatang,mabuncalang,tinggalang
buangair_beol_berak,meju,makebotan,maporatan
bubur,bubuh,bubuh,bubuh
buka,ungkabang_ampakang,ampakang,mangabuka
bukan,tidong_dong,boya,boya
bukit,bukit_gunung,bukit_gunung,bukit_giri
buku,buku,kitab,cakepan
bulan,sasih,sasih,sasih
bulan,bulan,bulan,bulan
bulan purnama,purnama,purnama,purmacandra
bulanbaru,tilem,tilem,tilem
bulat_bundar,bunder_gilik,bunteran,bunter
bulu,bulu,bulu,bulu
bumi,gumi,bumi,marcapada_bumi
bunga_kembang,bunga_kembang,puspa_kusumasekar,sekar_puspa
bungkusan,kaputan,kaputan,kaputan
bunuh,matiang,sedayang,pademang
buruk,jaat_corah_jele,kaon,NULL
buruk_busuk,jelek,kaon,kaon
burung,kedis,paksi,paksi
buta,buta,buta,nentennyingakin
cabang,carang,carang,carang
cakap,duweg,ririh_wikan,pradnyan
campur_mencampur,aduk_ledok,aduk,aduk
cangkir,cangkir,cangkir,cangkir
cantik,jegeg_desak,becik,ayu
cantik,jegeg,ayu,ayu
capai_lelah,kenyel_oon_tuyuh,lesu_kaleson,lesu
cari,alih,rereh,ruruh
cat_cet,cet_pulas,pulas,pulas
catatan,catetan,painget,painget
celana panjang,jaler,celana jaler,jaler
cepat,becat_gangsar,gelis,gelis
cepat,enggal_gangsar_encol_becat,gelis,gelis
cerita,satua_satwa,tuturan_tutur_cerita,cerita
cermin,meka,cerma,cermin_mika
cincin,bungkung,bungkung,aliali
cium_kecup,diman,aras,aras
cium_membau,adek,ngambu,NULL
coba,tegarang_indayang,indayang,indayang
contoh,tulad_tempaconto_luire,tilad,tiru_imba_tatuladan
cuci_membersihkan,umbah_panting,umbah,umbah
cuci_mencuci,mabaseh,wisuh,macucian
cuci muka,masugi,raup,raup
cuci pakaian,panting_umbah,NULL,NULL
cuci tangan,mawajik,mawajik,mawajik
cucu,cucu_putu,putu,putu
cukup,cukup_nyandanggenep,jangkep,jangkep
cukur,cukur_gunting,cukur,cukur
dada,tangkah,dada,dada_wijang
dada,tangkah,dada,dada_wijang
daging,be,ulam,ulam
dagu,jagut,lalentek,lalentek
dahulu,ane malu laadne,dumun_riin_nguni,rihinin_dumunan_pecakne_nguni
dalam,dalem,jero,jero
damai,dame,dame_santi,dame_santi
dan,muah_teken_lan,miwah_ring_kalih,tur_rauhing
danau,danu,danu,ranu
dangkal,daken_dangsah,NULL,daken
danlagi,buina,maliha_samalih,napimalih
dapat,bisasanggup,sidaprasida,ubing
dapat_peroleh,bakat_maan,polih_molih,keniang_polih
dapur,paon,pawaregan,peratengan
darah,getih,rah,rah
dari,uli,saking,saking
dari mana,uli dija,saking dija,rauh ring dija
dari sana,uliditu,sakingirika,sakingdrika
daripada,padaang teken,bandingang ring,banding ring
datang,teka,rauh_dateng,rawuh
datuk_nenek perempuan,dadong,nini,nini_niyang
daun,daon,daun,daun
dekat,paek,nampek,nampak
dekat,paek,nampek,nampek
demam,panes_kebus,gerah,gerah
denda,danda,pidanda,pidanda
dengan,nganggon,ngangge,ngangge
denganseketika,prajani,pramangkin,pramangkin
dengansengaja,ngelapang,NULL,NULL
dengar,dingeh,piragi,pireng
